Title,sku,regular price,stock,img%20url,on ebay,group,Person Name,C:Team,C:League
Lolly Ink autographed Model RP 8x10 Photo RP1622,LollyI08142021CLY1622,9.99,1,https://american-autographs.com/toimages//Lolly%20Ink%20reg%20_1622.jpg|,,1168,Lolly Ink,rpr,
Anna Bell Peaks autographed Model RP 8X10 Photo RP5593,AnnRppRG26035593,9.99,1,https://american-autographs.com/toimages//anna%20bell%20peaks%205593.jpg|,,848,Anna Bell Peaks,rpr,
Eva Notty autographed Model RP 8X10 Photo RP6761,EvaRppRG32636761,9.99,1,https://american-autographs.com/toimages//Eva%20Notty%20June%206761.jpg|,,975,Eva Notty,rpr,
Inari Vachs autographed Adult Model RP 8X10 signed Photo RP3549,InariV04022020RrpY3549,9.99,1,https://american-autographs.com/toimages//Inari%20Vachs%2003092020%20(114)_3549.jpg|,,1651,Inari Vachs,rpr,
Honey Gold autographed Model RP 8x10 Photo RP0938,HoneyG2019RpAVNrY0938,9.99,1,https://american-autographs.com/toimages//Honey%20Gold%20_9-29-2017_0050_0938.jpg|,,1000,Honey Gold,rpr,
Brooke Beretta autographed Model RP 8x10 Photo RP0356,BrookeB2019RpAVNrY0356,9.99,1,https://american-autographs.com/toimages//brooke%20beretta%20_9-29-2017_0035_0356.jpg|,,885,Brooke Beretta,rpr,
Natasha Starr autographed Adult Model RP 8X10 signed Photo RP1062,NatashaS03202020rpRY1062,9.99,1,https://american-autographs.com/toimages//natasha%20starr%20avn20%20_01-27-2020_1062.jpg|,23,1235,Natasha Starr,rpr,
Kaylani Lei autographed Model RP 8X10 Photo RP8059,KayRppRG45108059,9.99,1,https://american-autographs.com/toimages//kaylani%20lei%208059.jpg|,,1099,Kaylani Lei,rpr,
Codi Bryant autographed Adult Model RP 8X10 signed Photo RP1766,CodiB04022020RrpY1766,9.99,1,https://american-autographs.com/toimages//Codi%20Bryant%2003032020%20(78)_1766.jpg|,23,1636,Codi Bryant,rpr,
Carolina Cortez autographed Adult Model RP 8X10 signed Photo RP0329,CarolinaC03202020rpRY0329,9.99,1,https://american-autographs.com/toimages//carolina%20cortez%20avn20%20_01-27-2020_0329.jpg|,,897,Carolina Cortez,rpr,
Kylie Reese autographed Adult Model RP 8X10 signed Photo RP4348,KylieR04022020RrpY4348,9.99,1,https://american-autographs.com/toimages//Kylie%20Reese%2003122020%20(1)_4348.jpg|,,1658,Kylie Reese,rpr,
Maya Bijou autographed Model RP 8x10 Photo RP1800,MayaB2019RpAVNrY1800,9.99,1,https://american-autographs.com/toimages//maya%20bijou%20_9-29-2017_0011_1800.jpg|,,1194,Maya Bijou,rpr,
Alex Blake autographed Adult Model RP 8X10 signed Photo RP0011,AlexB08252020rppCY0011,9.99,1,https://american-autographs.com/toimages//Alex%20Blake%2008132020%20(5)%20_0011.jpg|,,805,Alex Blake,rpr,
Lily Carter autographed Adult Model RP 8X10 signed Photo RP4725,LilyC04022020RrpY4725,9.99,1,https://american-autographs.com/toimages//Lily%20Carter%2003132020%20(27)_4725.jpg|,,1661,Lily Carter,rpr,
Draven Star autographed Adult Model RP 8X10 signed Photo RP0438,DravenS03202020rpRY0438,9.99,1,https://american-autographs.com/toimages//draven%20star%20avn20%20_01-27-2020_0438.jpg|,,956,Draven Star,rpr,
Mari Aikawa autographed Adult Model RP 8X10 signed Photo RP5438,MariA04022020RrpY5438,9.99,1,https://american-autographs.com/toimages//Mari%20Aikawa%2003182020%20(32)_5438.jpg|,,1667,Mari Aikawa,rpr,
Madison Ivy autographed Adult Model RP 8X10 signed Photo RP5277,MadisonI04022020RrpY5277,9.99,1,https://american-autographs.com/toimages//Madison%20Ivy%2003172020%20(23)_5277.jpg|,23,1665,Madison Ivy,rpr,
Ash Hollywood autographed Adult Model RP 8X10 signed Photo RP0376,AshH04292020RRRPY0376,9.99,1,https://american-autographs.com/toimages//Ash%20Hollywood%2004102020%20(7)_0376.jpg|,,3007,Ash Hollywood,rpr,
Cassidy Klein autographed Model RP 8X10 Photo RP6299,CasRppRG28056299,9.99,1,https://american-autographs.com/toimages//Cassidy%20Klein%206299.jpg|,,903,Cassidy Klein,rpr,
Alison Rey autographed Model RP 8x10 Photo RP0170,AlisonR017003022023RPR,9.99,1,https://american-autographs.com/toimages//Alison_Rey_signed_8x10_photo_AVN23_0170.jpg|,,823,Alison Rey,rpr,
Katie Kush autographed Adult Model RP 8X10 signed Photo RP0703,KatieK03202020rpRY0703,9.99,1,https://american-autographs.com/toimages//katie%20kush%20avn20%20_01-27-2020_0703.jpg|,,1486,Katie Kush,rpr,
Jenna Foxx autographed Model RP 8x10 Photo RP1085,JennaF2019RpAVNrY1085,9.99,1,https://american-autographs.com/toimages//jenna%20foxx%20_9-29-2017_0040_1085.jpg|,23,1031,Jenna Foxx,rpr,
Alexis Zara autographed Model RP 8x10 Photo RP0597,AlexisZ08142021CLY0597,9.99,1,https://american-autographs.com/toimages//Alexis%20Zara%20_0597.jpg|,,1466,Alexis Zara,rpr,
Holly Heart autographed Adult Model RP 8X10 signed Photo RP0482,HollyH08102020rppCY0482,9.99,1,https://american-autographs.com/toimages//Holly%20Heart%2007282020%20(48)_0482.jpg|,23,998,Holly Heart,rpr,
Sophia Santi autographed Adult Model RP 8X10 signed Photo RP1635,SophiaS05182020RegRpgY1635,9.99,1,https://american-autographs.com/toimages//Sophia%20Santi%20%20_1635.jpg|,23,3041,Sophia Santi,rpr,
Jessy Dubai autographed Model RP 8X10 Photo RP7461,JesRppRG39507461,9.99,1,https://american-autographs.com/toimages//JESSY%20DUBAI%207461.jpg|,23,1055,Jessy Dubai,RPRTS,
Jennifer White autographed Model RP 8x10 Photo RP4303,JenniferW430314022023RPR,9.99,1,https://american-autographs.com/toimages//Jennifer_White_signed_Rp_RP_RP_4303.jpg|,,1038,Jennifer White,rpr,
Chanell Heart autographed Model RP 8x10 Photo RP0479,ChanellH2019RpAVNrY0479,9.99,1,https://american-autographs.com/toimages//chanell%20heart%20_9-29-2017_0038_0479.jpg|,,907,Chanell Heart,rpr,
Joslyn James autographed Model RP 8x10 Photo RP1184,JoslynJ08142021CLY1184,9.99,1,https://american-autographs.com/toimages//Joslyn%20James%20_1184.jpg|,,1067,Joslyn James,rpr,
Kirsten Price autographed Adult Model RP 8X10 signed Photo RP0363,KristenP05132020RRpgY0363,9.99,1,https://american-autographs.com/toimages//Kristen%20Price%20_0363.jpg|,,3023,Kirsten Price,rpr,
Emily Willis autographed Adult Model RP 8X10 signed Photo RP0164,EmilyW08102020rppCY0164,9.99,1,https://american-autographs.com/toimages//Emily%20Willis%2007312020%20(57)_0164.jpg|,,967,Emily Willis,rpr,
Jayla Starr autographed Adult Model RP 8X10 signed Photo RP3865,JaylaS04022020RrpY3865,9.99,1,https://american-autographs.com/toimages//Jayla%20Starr%2003112020%20(12)_3865.jpg|,23,1653,Jayla Starr,rpr,
Britney Amber autographed Adult Model RP 8X10 signed Photo RP0229,BritneyA04162020RRpgY0229,9.99,1,https://american-autographs.com/toimages//britney%20amber%20_01-14-2020_0030_0229.jpg|,23,884,Britney Amber,rpr,
Cora Moth autographed Adult Model RP 8X10 signed Photo RP0221,CoraM626RegrpY0221,9.95,1,https://american-autographs.com/toimages//Cora%20Moth%2006152020%20(54)%20_0221.jpg|,,932,Cora Moth,rpr,
Riley Jensen autographed Adult Model RP 8X10 signed Photo RP0658,RileyJ04162020RRpgY0658,9.99,1,https://american-autographs.com/toimages//riley%20jensen%20_01-14-2020_0025_0658.jpg|,,1720,Riley Jensen,rpr,
Gia Derza autographed Model RP 8x10 Photo RP0847,GiaD2019RpAVNrY0847,9.99,1,https://american-autographs.com/toimages//gia%20derza%20_9-29-2017_0067_0847.jpg|,23,985,Gia Derza,rpr,
Leigh Raven autographed Model RP 8x10 Photo RP1619,LeighR2019RpAVNrY1619,9.99,1,https://american-autographs.com/toimages//leigh%20raven%20_9-29-2017_0086_1619.jpg|,,1148,Leigh Raven,rpr,
