Item number,Custom label (SKU),Title,Relationship ,Relationship details,P:UPC,Available quantity,Start price,Buy It Now price,Reserve price,Current price (future),Format,Condition,eBay category 1 name,eBay category 1 number,Listing site,High Bid,Bids,Watchers,Start date,End date,Sold Status
256000000000,AaliyahHprpR2019Y0001,Alison Rey autographed Model RP 8x10 Photo RP0132,,,,1,12.95,,,12.95,FixedPrice,,Photographs,104414,US,,,,Jun-30-22 00:48:43 PDT,Jul-05-22 10:06:21 PDT,Unsold
256000000000,AbeRppRG20375020,Amara Romani autographed Model RP 8X10 Photo RP5516,,,,1,12.95,,,12.95,FixedPrice,,Photographs,104414,US,,,,Jun-30-22 00:48:53 PDT,Jul-05-22 10:06:21 PDT,Unsold
256000000000,KikiD508515022023RPRB,Alexa Nova autographed Model RP 8x10 Photo RP0117,,,,1,12.95,,,12.95,FixedPrice,,Photographs,104414,US,,,,Jun-30-22 00:48:39 PDT,Jul-05-22 10:06:19 PDT,Unsold
